,host_response_rate,host_acceptance_rate,price,availability_365,number_of_reviews,review_scores_cleanliness,review_scores_communication,review_scores_location,reviews_per_month,room_type
10743,100.0,94.0,708.0,126,21.0,5.0,5.0,4.76,0.74,Entire home/apt
10744,100.0,91.5,500.0,365,1.0,5.0,5.0,5.0,0.04,Private room
10745,100.0,100.0,853.0,328,15.0,4.8,4.8,4.93,0.57,Entire home/apt
10746,98.6,100.0,1000.0,241,22.0,4.91,4.86,4.95,0.76,Entire home/apt
10747,94.5,91.5,1097.0,363,1.0,5.0,5.0,5.0,0.05,Private room
10748,100.0,97.3,500.0,86,1.0,5.0,5.0,5.0,0.04,Entire home/apt
10749,94.5,100.0,2036.0,177,1.0,5.0,5.0,5.0,0.04,Entire home/apt
10750,100.0,100.0,449.0,84,0.0,4.7,4.8,4.8,1.7,Private room
10751,100.0,100.0,1908.0,283,20.2,4.97,4.86,4.95,3.97,Entire home/apt
10752,94.5,91.5,300.0,180,0.0,4.7,4.8,4.8,1.7,Private room
10753,100.0,97.0,344.0,359,6.0,4.33,4.67,4.67,0.35,Private room
10754,100.0,98.0,551.0,174,20.0,4.95,4.75,4.6,0.69,Entire home/apt
10755,100.0,100.0,914.0,88,41.0,4.49,4.71,4.59,1.54,Entire home/apt
